prediction	reference
de manlju wurde fertocht fan dielnimming oan in kriminele arganissaasje	De manlju wurde fertocht fan dielnimming oan in kriminele organisaasje.
undernimmers biede in pear hûndert hannentekeningen oan oan de wethâlder	Undernimmers biede in pear hûndert hantekeningen oan oan de wethâlder.
ik krige goed te iten en dan waare mei tekken	Ik krige goed te iten en in waarme tekken.
hjy rekket him ryk en telt him earm	Hy rekkent him ryk en telt him earm.
oan de ein fan it stik wurdt dúdlik wêrom de sân syn mem hatet	Oan de ein fan it stik wurdt dúdlik wêrom de soan syn mem hatet.
hoe let giet de trein nei snits	Hoe let giet de trein nei Snits?
dy felle kleuren dogge gjin sear oan de eagen	Dy felle kleuren dogge jin sear oan 'e eagen.
as je belizze wolle moatte je wat oars keapje as keukst	As je belizze wolle, moatte je wat oars keapje as keunst.
mei ik my even foarstelle	Mei ik my even foarstelle?
hoefolle wetter ken it gers op de dyk oan	Hoefolle wetter kin it gers op de dyk oan?
ferôardiele jimme my mar mar ik ferflok jim allegearre	Feroardielje jimme my mar, mar ik ferflok jimme allegearre.
we moatte heel lûed rêze om oa noat te stean dat ik hâld it koart	Wy moatte heel lûd raze om inoar te ferstean dat ik hâld it koart.
de bewenners krije fjouwer wiken de tiid al in nij onderkommen te sykjen	De bewenners krije fjouwer wiken de tiid om in nij ûnderkommen te sykjen.
dat is wol sa moai dat sjogge ji nea moaier	Dat is wol sa moai, dat sjogge je nea moaier!
al wat yn dit doarp wurket hat in hûes	Al wa't yn dit doarp wurket, hat in hûs.
wy geane de goede kant op mar ferskate saken kinne noch better	Wy geane de goede kant op, mar ferskate saken kinne noch better.
ik ha dochs noch fjouwer en in heal oere ûnderweis west	Ik ha dochs noch fjouwer en in heal oere ûnderweis west.
al wat libbet sil nea stjerre l	Al wat libbet, sil nea stjerre.
ik haw mar ien besteld dy selektiesdeitemoarn oer in wike ophelje	Ik haw mar ien besteld, dy sil ik tiisdeitemoarn oer in wike ophelje.
dat fyn ik echt	Dat fyn ik echt.
allinne út betroubere wittenskiplike feiten kin men konklúzje slûke	Allinne út betroubere wittenskiplike feiten kin men konklúzjes lûke.
it fakbûnt wie ôfspranken makke dat de reorginisaasje stap foar stap gean soe	It fakbûn hie ôfspraken makke dat de reorganisaasje stap foar stap gean soe.
oer san ding fan neat hoechst necht san opskot te meitsjen	Oer sa'n ding fan neat hoechst net sa'n opskuor te meitsjen.
sintrearje de foarige seis rigen	Sintrearje de foarige seis rigen.
it is al werhachs twa wiken lyn dat ik myn lêste berjochtsje stjoerd haw	It is alwer hast twa wike lyn dat ik myn lêste berjochtsje stjoerd haw.
dat sil wol betterje earst in âld wier bist	Dat sil wol betterje earst in âld wiif bist.
de aksjefierende binnenskippers hawwe de blokkares by de slûzen foar in part opheft	De aksjefierende binnenskippers hawwe de blokkades by de slûzen foar in part opheft.
sykje op ynternet	Sykje op ynternet.
binne sy in bern	Binne sy jim bern?
op it hichte punt fan de foarstelling swiere de tritich dûnzers oer it iis	Op it hichtepunt fan de foarstelling swiere der tritich dûnsers oer it iis.
sil ik friisk kieze	Sil ik Frysk kieze?
in bedriuwsgebou yn ljouwert is woansdeitemiddei troffen troch in ûtswâne brân	In bedriuwsgebou yn Ljouwert is woansdeitemiddei troffen troch in útslaande brân.
dizze deiekskurzje bringt jo nei de súdlike kant fan e kostablanka	Dizze dei-ekskurzje bringt jo nei de súdlike kant fan 'e Costa Blanca.
de bestjoerder kaam mei de skrikfrij	De bestjoerder kaam mei de skrik frij.
de tydlike skoalle waard freed ienrjochte mei help fan san tritich âlden	De tydlike skoalle waard freed ynrjochte mei help fan sa'n tritich âlden.
it ûnderwiis hat ferlet fan de oanline wurdlist mein staffearringshifker en it olleine wurkboek	It ûnderwiis hat ferlet fan de online wurdlist mei staveringshifker en it online wurdboek.
it wie de tongersdeitomjaans nei keningsdei ien en al aktiviteit yn de binnenstêd d	It wie de tongersdeitemoarns nei Keningsdei ien en al aktiviteit yn de binnenstêd.
juster giet personeel wer oan it wurk nei trije wiken bedriuwsbesetting	Juster gie it personiel wer oan it wurk nei trije wiken bedriuwsbesetting.
begjin dizze mjanne waard bekend hoe bysûnder as it grien reade skaaltsje eins is	Begjin dizze moanne waard bekend hoe bysûnder as it grien-reade skaaltsje eins is.
it konsert wie fergees en duorre in oere	It konsert wie fergees en duorre in oere.
kin ik my in kredytkaart betelje	Kin ik mei in kredytkaart betelje?
alles omhinne is griis	Alles om him hinne is griis.
oer in pear wike begjinne de earste merken wer	Oer in pear wike begjinne de earste merken wer.
de koal wurdt bysnied skjinmakke en yn kratsje ferpakt tt	De koal wurdt bysnijd, skjinmakke en yn kratsjes ferpakt.
ik lyt myn tinesen en myn ferbylding harren gong gean	Ik liet myn tinzen en myn ferbylding harren gong gean.
hy rint oft de skokken him yn e knoop sitte	Hy rint oft de skonken him yn 'e knoop sitte.
ofrûne saterdeitemoarn waard op flylân in oere lang trochinoar wynkrêft njoggen metten	Ofrûne saterdeitemoarn waard op Flylân in oere lang trochinoar wynkrêft njoggen metten.
der is in soad ôfwikseling yn de bewegingen dyt makke wurde	Der is in soad ôfwikseling yn de bewegingen dy't makke wurde.
dieren waarden soms samar efterlitten	Dieren waarden soms samar efterlitten.
dat hoegde ik syn eigen jonge no net om de noas te hingjen	Dat hoegde ik syn eigen jonge no net oan de noas te hingjen.
as der ien skiep oer de daame is komme der mear	As der ien skiep oer de daam is, komme der mear.
syn argewaasje wie ferdwûn en ek de wurgens fan e sneontemoarn	Syn argewaasje wie ferdwûn en ek de wurgens fan de sneontemoarn.
goemoarn allegear	Goemoarn allegear.
dêr sakket it wetter de boaijum yn en wurdt it op natuerlike wize filtere	Dêr sakket it wetter de boaiem yn en wurdt it op natuerlike wize filtere.
wy moatte noch efkes geduld dwaan want wy kinne dêr earst oare moanne terjochte	Wy moatte noch eefkes geduld dwaan, want we kinne dêr earst oare moanne terjochte.
de grutte troef fan antwerpen is in histoarysk hart op rinôfstân	De grutte troef fan Antwerpen is in histoarysk hart op rinôfstân.
moandei is úteinset mei it útdielen fan de nije unifoarms foar de plysje	Moandei is úteinset mei it útdielen fan de nije unifoarms foar de polysje.
in soad tiid hawwe jo dochs net mear	In soad tiid hawwe jo dochs net mear.
der binne fjouwer ferieningen yn fryslân	Der binne fjouwer ferieningen yn Fryslân.
ferpleats de rigel trije rigels omheech	Ferpleats de rigel trije rigels omheech.
bergolaas binne in idiaal hâld fêst foar klimplanten	Pergola's binne in ideaal hâldfêst foar klimplanten.
belje wytse	Belje Wytse.
alle bern binne wolris oan dogens	Alle bern binne wolris ûndogens.
it tekoart oan ottermantsjes kin oplost wurde troch bettere natuerferbiningen mei útslân	It tekoart oan ottermantsjes kin oplost wurde troch bettere natuerferbiningen mei Dútslân.
nei it ûngelok rieden de ambulânsen ôf en oan	Nei it ûngelok rieden de ambulânsen ôf en oan.
it byhâlden fan in deiboek is wat dat al iuwen en iuwen nean wurdt	It byhâlden fan in deiboek is wat dat al iuwen en iuwen dien wurdt.
kinne wy hjir oant tiisdei bliuwen	Kinne wy hjir oant tiisdei bliuwe?
ik wie wer op bekend terrein ik hie wer fêste grûn ûnder de fuotten	Ik wie wer op bekend terrein, ik hie wer fêstegrûn ûnder de fuotten.
troch de fakânsjeperioade is it relatyf rêstich op e dyk	Troch de fakânsjeperioade is it relatyf rêstich op 'e dyk.
yjoggen jier lyn bin ik út armenië nei nederlân kommen	Njoggen jier lyn bin ik út Armenië nei Nederlân kommen.
it soe san trije jier oanhâlde	It soe sa'n trije jier oanhâlde.
soe ik it ruilje kinne	Soe ik it ruilje kinne?
lit myn beldskiednis sjen	Lit myn belskiednis sjen.
de regeling sil benammen jilde foar earnstewurkgefallen	De regeling sil benammen jilde foar earnstige gefallen.
be hearsking fan dútsk en ingelsk yn wurd en skrift is ferearske	Behearsking fan Dútsk en Ingelsk yn wurd en skrift is fereaske.
dy wie seis jier en dan binne je o sa gefoelich foar dy dingen	Dy wie seis jier en dan binne je o sa gefoelich foar dy dingen.
yn de seiterpolder komt ek de noadske wrâldmûs foar in bedrige en seldsume mûzesoarte	Yn de Saiterpolder komt ek de Noardske wrotmûs foar, in bedrige en seldsume mûzesoarte.
wolle jo wol in bytsje foar de mikrafons sitten bliuwe	Wolle jo wol in bytsje foar de mikrofoan sitten bliuwe?
ik wol tsien jier hurd wurkje wye jild fertsjinje en dan op wrâldreis gean	Ik wol tsien jier hurd wurkje en jild fertsjinje en dan op wrâldreis gean.
yn de jierren sechstich hat er tûzenen foarwerpen fan út de âlde stjentiid	Yn de jierren sechstich hat er tûzenen foarwerpen fûn út de âlde stientiid.
alle freonen oan waart ik in útmûgingstjoerd haw binne op it feest kommen	Alle freonen oan wa't ik in útnûging stjoerd haw, binne op it feest kommen.
kanaal omleech	Kanaal omleech.
gean ei postfek yn	Gean nei Postfek Yn.
mûns dûbelklikke	Mûs dûbelklikke.
it spitige is dat ik dy ynformaasje sels byinoar fan libbe moatten haw	It spitige is dat ik dy ynformaasje sels byinoar fandelje moatten haw.
selektearje it foarige	Selektearje it foarige.
hy skuoldt holle by it hearren fan al dy ûnsin	Hy skodholle by it hearren fan al dy ûnsin.
de tridde tiisdeis yn septimber presintearret it regear de miljoene nota en de ryksbegrutting	De tredde tiisdeis yn septimber presintearret it regear de miljoenenota en de ryksbegrutting.
dit binne de ûnderwerpen dyt oan bod komme sille	Dit binne de ûnderwerpen dy't oan bod komme sille.
ienen fan de hinnen sit om in pear dagen te brieden	Ien fan 'e hinnen sit al in pear dagen te brieden.
it is hjir gebrûklik dat de kiste troch famylje of freonen drûgen wurdt	It is hjir gebrûklik dat de kiste troch famylje of freonen droegen wurdt.
dêr kinne in soad buntsje oan sûech	Dêr kinne in soad in puntsje oan sûge.
meitsje dat fet	Meitsje dat fet.
display út	Display út.
lit de nije mail oer de hier sjen	Lit de nije mail oer de hier sjen.
wat stiet dêr op it boadskiplitske	Wat stiet der op it boadskiplistke?
hy brocht syn dochter nei de sneinskoalle	Hy brocht syn dochter nei de sneinsskoalle.
moat ik de heit fan de breid om de hân fan syn dochter freegje	Moat ik de heit fan de breid om de hân fan syn dochter freegje?
ik seach harren efternei wylst hja hân yn hân troch de poarte geanen	Ik seach harren efternei wylst hja hân yn hân troch de poarte giene.
de swiere apparaten moatte mei twa kranen it fabryk yntakele wurde	De swiere apparaten moatte mei twa kranen it fabryk yn takele wurde.
om it hûs wie in djippe sleat	Om it hûs wie in djippe sleat.
hy hat dy saak al efkes neamd mar dêr fierder gjin omtinken oan jûn	Hy hat dy saak al efkes neamd, mar der fierder gjin omtinken oan jûn.
goud wurdt al sûnt de twadde iuw fan ús hjiertelling ferwurke yn trouweringen	Goud wurdt al sûnt de twadde iuw fan ús jiertelling ferwurke yn trouringen.
sille wy earnes sitten gean	Sille wy earne sitten gean?
it is drok op e baan de reedriders stwirje trochinoar	It is drok op 'e baan, de reedriders twirje trochinoar.
tsjerkhôf	Tsjerkhôf.
op it stuit wachtet er op grien ljocht foar in folgjend projekt	Op it stuit wachtet er op grien ljocht foar in folgjend projekt.
hja ferdwûn sûnder foarm fan proses yn de finzenis	Hja ferdwûn sûnder foarm fan proses yn de finzenis.
dêr is it lêste wurd noch net oer sein	Dêr is it lêste wurd noch net oer sein.
der kin wat oerlêst wêze fanwege de bouaktiviteiten	Der kin wat oerlêst wêze fanwege de bouaktiviteiten.
yn kammega boeren yn ljouwert is in hierdesbelangfereendeging yn oprjochting	Yn Kammingabuorren yn Ljouwert is in hierdersbelangeferieniging yn oprjochting.
de trochreed is der ek noch dus dat is allegearr noch wol hul autentyk	De trochreed is der ek noch, dus dat is allegear noch wol heel autentyk.
it hat ús hjir tige goed foldien en wy komme wis noch as wer werom	It hat ús hjir tige goed foldien en wy komme wis noch ris werom.
dy wolle de hotelkosten net betelje	Dy wolle de hotelkosten net betelje.
foar de jongerein is der de freedtejûns in optreden fan in popgroep	Foar de jongerein is der de freedtejûns in optreden fan in popgroep.
gean nei skydnis	Gean nei skiednis.
as er net komt wa dogge jo dan	As er net komt, wat dogge jo dan?
de direksje fan e bank úis net berykbar foar kommintaare	De direksje fan 'e bank wie net berikber foar kommentaar.
hy moat ûnder wilens in flinkein yn de fyftich wêze	Hy moat ûnderwilens in flink ein yn de fyftich wêze.
bledsje	Blêdzje.
wêr soe myn pinne bedarre wêze	Wêr soe myn pinne bedarre wêze?
hja lei yn it gers en stoarre yn de blauwe kom fan de himel  hh	Hja lei yn it gers en stoarre yn de blauwe kom fan de himel.
stjoer angelike boadskip wat tinkt dy foar fan e jûn jt	Stjoer Angelique in boadskip: Wat tinkt dy fan fan 'e jûn?
wat kostet in keamermolbalkoen	Wat kostet in keamer mei balkon?
ik kin him fan de inkelde kearen dat we efkes mei inoar praten	Ik ken him fan de inkelde kearen dat we efkes mei-inoar praten.
dit merk stiet foar orrizjinele eksklursive famkesklean	Dit merk stiet foar orizjinele, eksklusive famkesklean.
omwenners hearden om seis oere hinne in lûde klop en bellen de polysje	Omwenners hearden om seis oere hinne in lûde klap en bellen de polysje.
bestân iepenje	Bestân iepenje.
de fakbûnen hawwe de efterbân ynformearre oer it lêste oanbod fan de wurkjouwers	De fakbûnen hawwe de efterbân ynformearre oer it lêste oanbod fan de wurkjouwers.
by in hoarder fan mear as fyftich euro betinde jo gjin ferstjoerkosten	By in oarder fan mear as fyftich euro betelje jo gjin ferstjoerskosten.
wêr is de trep	Wêr is de trep?
genietsje fan it libben en de rest giet fansels	Genietsje fan it libben en de rest giet fansels.
it frysk moat fansels wol waar boarge wurde	It Frysk moat fansels wol waarboarge wurde.
de man wie my it wapen op paad gean nei syn eardere wurkjouwer	De man wie mei it wapen op paad gien nei syn eardere wurkjouwer.
set de timer foar it sieden fan in aai	Set de timer foar it sieden fan in aai.
al spoarjende moat men jin wol sêd ite	Al sparjende moet men jin wol sêd ite.
as it reint bleau ik thús	As it reint, bliuw ik thús.
it siight yn dizze wenningen en de isolearing is in hielendal oan foldwaande	It siicht yn dizze wenningen en de isolearring is hielendal ûnfoldwaande.
soerkoal is langhâldber sonder dat der den konservearringsmiddel oan te pas komt	Soerkoal is lang hâldber sonder dat der in konservearringsmiddel oan te pas komt.
ik kin gjin goed mear by him dwaan	Ik kin gjin goed mear by him dwaan.
dy boeren binne dêr o sa wiis mei	Dy boeren binne der o sa wiis mei.
hja rûn tongersdei mei boeken en ferkocht foaral streekromans	Hja rûn tongersdeis mei boeken en ferkocht foaral streekromans.
yn dizze sneajacht draaide de wyn	Yn dizze sniejacht draaide de wyn.
in pear jier ferlyn begûn er foar himsels as ûnôfhinklik bedriuwskundich adviseur	In pear jier ferlyn begûn er foar himsels as ûnôfhinklik bedriuwskundich adviseur.
sy ha hantekeningen sammele om in fersyk foar in reverindum te dwaan	Sy ha hantekeningen sammele om in fersyk foar in referindum te dwaan.
it ligge wol as koet der net fan plak komme	It like wol as koe er net fan 't plak komme.
wy pleate dûbele worstavels om de badkeamer filus mjarns koarte te meitsjen	Wy pleatse dûbelde wasktafels om de badkeamerfiles moarns koarter te meitsjen.
as er mei grut gemak ingels praat nem ik him oan	As er mei grut gemak Ingelsk praat, nim ik him oan.
de ôfsluiwyk hat tiisdeitemiddei ofsluten west fanwegen in ûngelok mei in frachtweinst	De Ofslútdyk hat tiisdeitemiddei ôfsletten west fanwegen in ûngelok mei in frachtwein.
it tal ynbraten gist mei de krystdagen twei ús heeg as dewoanwei	It tal ynbraken is mei de krystdagen twa kear sa heech as gewoanwei.
de trije dellen binne ytnûn troch de frúslikke degen	De trije dielen binne útjûn troch de Fryske Akademy.
dit cast wi heel meager doent de dynda sjoe kaam	De kat wie heel meager doe't er yn it asyl kaam.
wist der linne hinne kan	Bist hjir allinne hinne kommen?
it is better dat men rus ôfwiis wurdt dan dat ûn gin wl werfining om dat	It is better dat men ris ôfwiisd wurdt as dat men gjin ûnderfining opdocht.
de bern wer hieldt it selsstannige	De bern wurde hieltyd selsstanniger.
by hinterdie graach wolkom op ús wykesret is jûn op waasdei	Wy hjitte dy graach wolkom op ús wyklikse repetysjejûn op woansdei.
as jimm barrapoynoadiha kene mine mien	As jim in paraplu nedich hawwe, kinne jim ien liene.
wa soarmen foar jo en de poppe	Wa soarget foar jo en de poppe?
dimje de ljochten	Dimje de ljochten.
yn grutte stêden nimt in tal dakleazen ta en ûntsteane probleemwiken	Yn grutte stêden nimt it tal dakleazen ta en ûntsteane probleemwiken.
de gemeenteried praat kommende tongersdei oer de plannen	De gemeenteried praat kommende tongersdei oer de plannen.
om it achttjinde jier hinne groei de famkesstim út ta sopraan messosopraan of alt	Om it achttjinde jier hinne groeit de famkesstim út ta sopraan, mezzosopraan of alt.
minsken wurdt in fjoerwurkfrij ûnderkommen oanbean foar de ôltidsnacht	Minsken wurdt in fjoerwurkfrij ûnderkommen oanbean foar de âldjiersnacht.
dy generaasje is yntusken útstoarn	Dy generaasje is yntusken útstoarn.
de tongersdeitenachts begûn it te reinen en dat hold op freedtemiddei pas op	De tongersdeitenachts begûn it te reinen en dat hold op freedtemiddei pas op.
nei in swiere training ha ik gjin sin oan iten en wur ek mislik	Nei in swiere training ha ik gjin sin oan iten en wurd ik mislik.
hy rint deromhinne rinne as de kat om de hitebrij	Hy rint deromhinne rinne as de kat om de hjitte brij.
minsken kamen út drintewei hjir te wenyn	Minsken kamen út Drinte wei hjir te wenjen.
sa leverje wy allegearre ús bydrage ta ferbettering fan de wrâld	Sa leverje wij allegearre ús bydrage ta ferbettering fan de wrâld.
miskien fûnt hy it wol in goed idee	Miskien fûn hy it wol in goed idee.
ik doch och alle oaren en flach de earm om e faam hinne	Ik doch as alle oaren en slach de earm om 'e faam hinne.
sjong in sperske fan my	Sjong in ferske foar my.
fan natuere binne deiledis giel of oranjen	Fan natuere binne deileeljes giel of oranje.
wiskje folgjende wurds	Wiskje folgjende wurd.
syn frou wie al dea dy hie it oan it hert krigen	Syn frou wie al dea, dy hie it oan it hert krigen.
meinenwar hellen se alles út it hûs en makken it skjin	Mei-inoar hellen se alles út it hûs en makken it skjin.
wa bin ik om te tinken dat ik de ienige bin dyt it wit	Wa bin ik om te tinken dat ik de ienige bin dy't it wit.
dy koenen dan maatregels nimme oft se dat woenen	Dy koenen dan maatregels nimme at se dat woenen.
yn drachten hat woansdeitemiddei brân west yn in wenhûs oan de stasjonswei	Yn Drachten hat woansdeitemiddei brân west yn in wenhûs oan de Stasjonswei.
dêrt it hert fol fan is dêr rint de mûle fan oer	Dêr't it hert fol fan is, dêr rint de mûle fan oer.
de plysje nimt de saak heech op en praat fan besykjend ta deaslach	De polysje nimt de saak heech op en praat fan besykjen ta deaslach.
sinnepinielen binne troch harren onfang wyn gefoelich en moatte stevich fêstset wurde	Sinnepanielen binne troch harren omfang wyngefoelich en moatte stevich fêstset wurde.
klik op ôfbylding	Klik op ôfbylding.
dat kin oan gien en tweintich juny ta	Dat kin oant ien en tweintich juny ta.
mei fjouwer man foarmen se in ketting om my nei boppen ta te lûken	Mei fjouwer man foarmen se in ketting om my nei boppen ta te lûken.
it wie smoar hjiert yn e keamer	It wie smoarhjit yn 'e keamer.
hy hette dizze simmer iepenet besikerssintrum mei oprjochte	Hy hat it dizze simmer iepene besikerssintrum mei oprjochte.
de striid rint hieltyd mear út e hân	De striid rint hieltyd mear út de hân.
hjir arebeide min fan heit op sân yn it stjin gat	Hjir arbeide men fan heit op soan yn it stiengat.
it is ferskuorrend boppen myn budzjet mar sjien kostet neat en dreame ek net	It is ferskuorrend boppe myn budzjet, mar sjen kostet neat en dreame ek net.
we hawwe it oer in aktive handelsblâns as wy mear út as ynfiere	Wy hawwe it oer in aktive hannelsbalâns as wy mear út- as ynfiere.
omdat it net sa fier reiziggen is is it souwerlân geskikt foar deireizen	Omdat it net sa fier reizgjen is, is it Sauerlân geskikt foar deireizen.
sokke snije blannen steane net lang	Sokke snijblommen steane net lang.
as haadfak studearret er moderne literatuer	As haadfak studearret er moderne literatuer.
de inisjatyfnimmers fan it referindum binne tsjin de bou fan de wynmûnen	De inisjatyfnimmers fan it referindum binne tsjin de bou fan de wynmûnen.
foar in soad lytse boeren yn de ûntwikkelingslannen is biauwlânbou wier wol in alternatyf	Foar in soad lytse boeren yn de ûntwikkelingslannen is biolânbou wier wol in alternatyf.
at se in swiper sjogge en fiele no dan binne se net sa lekke	At se in swipe sjogge en fiele no dan binne se net sa lekker.
de swiper dêr binne se al in bytsje bank fan	De swipe, dêr binne se al in bytsje bang fan.
it wienen altyd deselde minsken dy opdraven kamen	It wienen altyd deselde minsken dy opdraven kamen.
de sjirurch makke ynsnijingen boppe de hiergrins en om it ear hinne	De sjirurch makke ynsnijingen boppe de hiergrins en om it ear hinne.
binne jo net bang dat jo de ûnferdraachsemens yn e hân wurkje sille	Binne jo net bang dat jo de ûnferdraachsumens yn 'e hân wurkje sille?
gean nei it begjin fan de sin	Gean nei it begjin fan de sin.
skriuw de earste fiif wurden	Skriuw de earste fiif wurden.
ik begryp it eins net sa goed	Ik begryp it eins net sa goed.
sy is ien en tachtich jier en de âldste aktive wedstriiddamster yn fryslân	Sy is ien en tachtich jier en de âldste aktive wedstriiddamster yn Fryslân.
de brânwacht hat woansdei de hiele jûn oan it neit wêsten west by de winkel	De brânwacht hat woansdei de hiele jûn oan it neidwêsten west by de winkel.
syn libben hinget oan e siden tried nn	Syn libben hinget oan in siden tried.
kinst hjir noch echt tsjusterbelibje en nachts kinst in hiel soad stjerren sjen	Kinst hjir noch echt tsjuster belibje en nachts kinst in heel soad stjerren sjen.
hasto it dit wykein no tiid of leaver in oare kear	Hasto it dit wykein oan tiid of leaver in oare kear?
pake hie mei syn hiele húshâlding yn it rûefke wenne	Pake hie mei syn hiele húshâlding yn it roefke wenne.
hy witt it noch ris de dei fan juster	Hy wit it noch as de dei fan juster.
bioskoop	Bioskoop.
trije leden fan dy wurkgroep binne diplomearre holder	Trije leden fan dy wurkgroep binne diplomearre moolder.
blêdzje troch map	Blêdzje troch map.
apteek	Apteek.
wy hiene fyftich drintser skiep	We hienen fyftich Drintske skiep.
hoe kom ik fan hjir nei emiljans	Hoe kom ik fan hjir nei Emiel Jans?
de moarnssesje begjint om healdei alven	De moarnssesje begjint om healwei alven.
tusken de twahuzen leit in gersjild dêrlâns kinst by it merkplein komme	Tusken de twa huzen leit in gersfjild; dêrlâns kinst by it merkplein komme.
set t ûnder titels oan	Set ûndertitels oan.
us systeem farregelse sanksjes is trochsichtich foar ús learlingen	Us systeem fan regels en sanksjes is trochsichtich foar ús learlingen.
de húshâlding telde sân bern seis jonges en ien famke	De húshâlding telde sân bern, seis jonges en ien famke.
de fiif bindelieders rûnen tsjin de lampe oan	De fiif bindelieders rûnen tsjin 'e lampe oan.
de tentongstelling is te sjen fan njoggentjin oktober oant en mei trettjin desimber	De tentoanstelling is te sjen fan njoggentjin oktober oant en mei trettjin desimber.
de wurknimmer kriget by pensjonearringin foarôfôfpraat bedrach	De wurknimmer kriget by pensjonearring in foarôf ôfpraat bedrach.
ik sit hjir al in oere te wachtsjen	Ik sit hjir al in oere te wachtsjen.
hy die mei oan in fersette aksje en foel yn hannen fan de plysje	Hy die mei oan in fersetsaksje en foel yn hannen fan de polysje.
it is ús doel om de tiid fuort te gean	It is ús doel om betiid fuort te gean.
dêr koe piter ek net foar	Dêr koe Piter ek net foar.
hingje op	Hingje op.
de grutste drokter wert ferwacht op freedtejûn ei sneonitemoarn	De grutste drokte wurdt ferwachte op freedtejûn en saterdeitemoarn.
ik kin dy jonge e gjin tel út each ferlieze	Ik kin dy jonge ek gjin tel út it each ferlieze!
op it sjûke mar binne freedtejûn trije minsken oppakt foar fiskstreuperij	Op de Tsjûkemar binne freedtejûn trije minsken oppakt foar fiskstreuperij.
ik fyn it minder dat der diskrimminearre wurdt	Ik fyn it minder dat der diskriminearre wurdt.
gjinien kin ferbean wurde om earlik oer syn of har eigen wurk te praten	Gjinien kin ferbean wurde om earlik oer syn of har eigen wurk te praten.
ik fiel my mislik	Ik fiel my mislik.
se pakte snein mei oermacht har fjirde europeeske ofround titel eee	Se pakte snein mei oermacht har fjirde Europeeske allroundtitel.
sy giet de hurde konfrontaasje net út de wei	Sy giet de hurde konfrontaasje net út 'e wei.
in koart fan alle friezen yn nederlân wennet bûten fryslân	In kwart fan alle Friezen yn Nederlân wennet bûten Fryslân.
syn fleanmasine lâne om tsien oer tseenen	Syn fleanmasine lâne om tsien oer tsienen.
alle jierren jout it koar in tal goed besochte konserten	Alle jierren jout it koar in tal goed besochte konserten.
foar in geraazje stie in man yn in noveraal de hannen swart	Foar in garaazje stie in man yn in overal, de hannen swart.
hoe faak deis draaie jo de kraan net iepen	Hoe faak deis draaie jo de kraan net iepen?
sylfia waard de sneintenachts mei hertklachten opnommen yn it sikehûs	Sylvia waard de sneintenachts mei hertklachten opnommen yn it sikehús.
op de montaazjeôfdieling wurde strykizers makke	Op de montaazjeôfdieling wurde strykizers makke.
myn doeksskoalle yn belieze haw ik ferkeapje moatten	Myn dûkskoalle yn Belize haw ik ferkeapje moatten.
de learaar hie in fjoerreade holle en it swirt rûnim oer it antlit	De learaar hie in fjoerreade holle en it swit rûn him oer it antlit.
wy moatte mar ris sjen hoet it him fierder ûnt wynt	Wy moatte mar ris sjen hoe't it him fierder ûntwynt.
wy hawwe hjoed in nije learder kocht	Wy hawwe hjoed in nije ljedder kocht.
de wyn kin heel freonlik wêze mar hy kin ik heel faijannich wêze	De wyn kin heel freonlik wêze mar hy kin ek heel fijannich wêze.
it programma wie fan twa oere oant kertier foar fjouweren	It programma wie fan twa oere oant kertier foar fjouweren.
ik sjoch wol	Ik sjoch wol.
op e lange doer fertsjinnje jo dy kosten fansels werom	Op 'e lange doer fertsjinje jo dy kosten fansels werom.
hy hearde de oare moarns om tsien oere	Hy is der de oare moarns om tsien oere.
de aksje groep is poer en begrypt der neat fan	De aksjegroep is poer en begrypt der neat fan.
de jongerein giet op hieltyd âldere leeftiid út e hûs	De jongerein giet op hieltyd âldere leeftiid út 'e hûs.
stjoer email troch	Stjoer e-mail troch.
de nommers alve en tolve degradearrje streekerjocht nei de oergongsklasse	De nûmers alve en tolve degradearje streekrjocht nei de oergongsklasse.
de húshâldingspegelieder komt op syn minst ien kear wyks by jin thús	De húshâldingsbegelieder komt op syn minst ien kear wyks by jin thús.
tongersdeitenacht wie der ek al oanholden foar it riden ûnder ynfloed	Tongersdeitenacht wie er ek al oanholden foar it riden ûnder ynfloed.
de sporter sette troch en hie efterô al hiel gjin spyt	De sporter sette troch en hie efterôf alhiel gjin spyt.
ik kuier in protte en rûn út en troch oan by syn mem	Ik kuiere in protte en rûn út en troch oan by syn mem.
it like in ivichheid te duorjen en de pine wie net út te hâlden	It like in ivichheid te duorjen en de pine wie net út te hâlden.
de bestudearre meitoanen wurde wytweidich taljochten mei foarbylden	De bestudearre metoaden wurde wiidweidich taljochte mei foarbylden.
punstasjon	Busstasjon.
it famke seach as krige se te gearren dat se de hûnderttûzen twûn hie	It famke seach as krige se te hearren dat se de hûnderttûzen wûn hie.
de measte biblioteken organisearje spesjale middeis dêrt op foarlêzen wurdt	De measte biblioteken organisearje spesjale middeis dêr't op foarlêzen wurdt.
oerskeakelje nei wurd	Oerskeakelje nei Word.
ik bin wurch ik wol no graach efkes allinnich wêze	Ik bin warch, ik wol no graach efkes allinne wêze.
it wie op in moaie waarme dei yn de maitiid	It wie op in moaie waarme dei yn de maitiid.
ien simper rigel is nedich om dizze datebst te fuljen	Ien sin per rigel is nedich om dizze database te foljen.
dat binne myn suskes	Dat binne myn suskes.
der binne nol oare dingen oan e hân	Der binne no oare dingen oan de hân.
dit suksesfolle pear dûoen se it hiele wedstriidsesûen in soad prizen byinoar	Dit suksesfolle pear dûnse it hiele wedstriidseizoen in soad prizen byinoar.
